city_id,country,state,city,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52
1526,Bolivia (Plurinational State Of),Cercado Province,Oruro,3,3,1,1,1,1,2,2,1,2,5,1,NA,351,259,41,401,296,22,27,340,183,9,2,33,12,52,41,15484,1,13,10,6,6,8,4,3,1,1,4,17,7,NA,24,3,3,3,NA,NA,35,2,16
1584,Russian Federation,Altai Krai,Biisk,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,Malaysia,Sarawak,Kuching,9,9,6,3,3,3,12,6,3,6,48,NA,NA,2073,1095,171,1242,741,96,105,1731,396,15,18,189,87,189,201,100965,NA,96,39,6,12,12,6,9,3,3,15,57,24,141,108,15,9,6,1527,NA,90,9,45
918,Ukraine,Ternopil's'ka Oblast,Ternopol,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378,375,NA,188,206,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,12937,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,12,NA,NA
2782,Finland,Pirkanmaa,Tampere,42,27,18,3,6,14,15,6,3,6,48,9,3,4263,2829,294,2760,2755,315,54,1371,381,24,126,276,87,312,375,90636,4,171,90,27,48,15,9,12,3,6,106,129,78,234,222,27,12,18,1416,NA,266,24,219
1863,Mexico,Coahuila,Monclova,42,24,9,3,3,3,9,6,3,3,42,3,3,1542,642,48,963,480,225,63,930,351,12,21,156,75,276,159,24081,3,NA,NA,6,9,9,3,9,6,3,27,45,18,78,84,6,6,3,4020,NA,81,9,63
1605,Mexico,Baja California Sur,La Paz,62,38,12,4,8,4,28,8,4,4,52,7,4,5542,2717,257,2967,1590,362,90,1730,382,27,30,187,176,349,290,64928,4,194,87,16,28,19,8,9,4,7,39,90,24,134,243,37,17,8,2784,NA,368,13,230
1165,Egypt,Qena Governorate,Qena,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,132,138,26,112,56,16,14,52,35,1,1,6,NA,34,2,8460,NA,28,NA,NA,3,NA,NA,1,1,NA,1,5,1,NA,9,3,NA,NA,NA,NA,8,NA,5
1212,United States Of America,Idaho,Boise,80,44,16,NA,20,12,28,12,4,16,80,8,8,6752,8592,780,7412,5244,592,224,1372,1004,60,168,284,168,444,724,133452,NA,164,76,24,48,40,20,28,16,8,124,232,100,792,304,44,32,32,1720,NA,276,32,852
206,United States Of America,Virginia,Richmond,18,12,3,NA,4,3,7,4,1,3,20,2,3,2088,1580,185,1584,995,112,67,212,161,20,39,50,39,73,120,28662,NA,44,19,8,30,7,5,7,6,2,34,67,35,166,83,13,6,7,418,NA,68,8,119
1513,United States Of America,California,San Bernardino,13,10,5,1,5,2,7,3,2,9,23,2,3,2163,1479,207,1533,1050,133,69,412,121,18,25,43,56,73,107,25936,1,67,39,9,28,9,4,4,6,2,20,41,25,219,71,13,7,6,422,NA,29,10,72
1936,Mexico,Sonora,Nogales,8,6,NA,1,1,1,2,NA,1,NA,6,1,NA,484,332,47,327,185,34,23,452,113,7,2,35,29,81,52,9628,NA,48,36,5,9,3,3,3,1,2,6,11,7,21,32,4,3,2,110,NA,36,3,23
2612,United States Of America,Alabama,Birmingham,32,22,10,2,8,8,10,6,4,10,36,4,2,3626,2494,460,2346,1536,282,96,388,250,26,74,78,100,178,216,48810,NA,86,26,8,26,16,8,8,6,2,40,102,60,228,170,24,12,12,768,NA,58,14,200
2814,Uzbekistan,Republic Of Karakalpakstan,Nukus,3,3,1,NA,1,1,1,NA,NA,1,2,1,NA,197,118,79,158,94,63,10,197,55,2,3,8,13,34,13,5537,NA,7,NA,3,1,1,4,1,NA,NA,NA,5,7,NA,24,1,1,2,316,NA,15,1,NA
37,Ukraine,Volyns'ka Oblast,Lutsk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,373,NA,288,240,NA,NA,NA,NA,NA,NA,45,NA,60,67,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1403,Peru,Ucayali,Pucallpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,Peru,Cajamarca,Cajamarca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1527,Venezuela (Bolivarian Republic Of),Falcón,Coro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
420,Italy,Friuli-Venezia Giulia,Trieste,18,11,6,1,4,2,7,2,1,1,8,3,2,955,730,185,790,529,162,29,356,163,6,14,77,49,101,172,29189,1,41,18,8,NA,NA,NA,NA,2,NA,22,39,18,NA,78,7,1,5,615,NA,64,6,100
47,United States Of America,Washington,Spokane,51,27,15,NA,12,15,21,9,3,9,45,6,3,6207,4833,696,5307,3384,507,201,708,405,39,114,162,156,279,372,80739,3,138,81,24,48,15,9,12,9,3,51,162,96,411,222,33,15,15,1500,NA,114,30,261
241,United States Of America,New York,Rochester,60,27,9,NA,9,12,21,6,3,6,36,6,3,5466,3711,537,3981,2889,321,150,948,522,27,66,144,129,273,315,64470,NA,147,51,12,24,24,9,12,9,3,60,153,75,597,246,36,12,18,1338,NA,198,33,231
1767,Poland,Świętokrzyskie Voivodeship,Kielce,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,525,NA,456,312,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,576,NA,NA,3,NA
2781,Netherlands,North Brabant,Eindhoven,83,54,29,4,18,11,27,11,8,7,41,12,4,8712,6696,1054,6207,4222,845,151,1991,622,35,60,237,126,303,327,151080,8,521,151,21,69,12,17,12,3,6,111,221,75,258,320,27,9,22,1542,NA,176,39,226
2643,Poland,Kuyavian-Pomeranian Voivodeship,Toruń,21,12,6,NA,6,3,12,3,NA,NA,24,3,NA,1908,1506,282,1359,1026,261,45,1527,426,24,30,243,126,228,216,76443,3,63,21,18,36,18,6,9,3,3,21,48,33,132,117,12,6,6,4119,NA,132,12,123
1392,Korea (Republic Of),Chungcheongbuk-Do,Chungju,6,4,2,1,NA,4,9,4,NA,1,18,1,2,726,435,NA,363,290,145,21,261,72,7,9,58,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,5,NA,NA,NA,NA,43,3,NA
202,United States Of America,Iowa,Des Moines,18,12,4,1,3,4,7,3,2,6,19,2,2,1830,1456,385,1332,1035,166,72,360,123,13,38,57,51,95,118,29361,NA,52,70,10,15,8,3,5,3,2,24,48,25,329,148,10,5,4,513,NA,51,10,156
393,India,Karnataka,Raichur,1,2,1,NA,NA,1,6,2,NA,1,13,NA,NA,146,164,31,NA,69,8,12,300,98,1,5,15,26,20,16,NA,1,14,NA,NA,1,1,2,1,NA,NA,1,6,3,NA,9,NA,NA,9,232,NA,14,4,NA
178,Japan,Ibaraki Prefecture,Tsukuba,7,4,3,1,1,4,4,3,2,1,8,1,1,635,572,93,465,307,67,31,NA,NA,4,6,35,28,50,59,12709,1,120,14,12,7,19,7,2,NA,2,14,23,21,NA,54,4,3,3,1701,NA,48,NA,24
803,France,Brittany,Rennes,48,30,15,3,12,9,18,6,6,3,27,6,3,3129,2484,381,2367,2010,489,99,NA,NA,42,42,267,111,303,351,NA,3,156,NA,NA,NA,NA,12,NA,3,3,69,111,54,NA,195,33,6,18,2088,NA,120,24,84
2405,Ukraine,Kyivs'ka Oblast,Belaya Tserkov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2464,Venezuela (Bolivarian Republic Of),Anzoategui,El Tigre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,Japan,Shizuoka Prefecture,Numazu,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,11,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1138,Mexico,Mexico City,Buenavista,15,6,4,1,1,1,5,2,1,1,9,1,NA,827,1153,72,770,366,133,31,439,108,7,2,40,31,69,45,13503,1,45,4,4,8,2,2,2,1,1,8,14,7,35,28,3,3,2,NA,NA,43,3,18
373,South Africa,Northern Cape,Kimberley,7,3,2,NA,1,1,3,1,1,1,3,1,NA,841,638,143,562,434,NA,39,318,71,5,8,56,60,81,63,20826,NA,31,NA,3,10,3,3,3,1,1,9,25,9,38,36,6,2,1,641,NA,21,2,22
